name46,reg46,name37,reg37,name36,reg36,name35,reg35,name34,reg34,name32,reg32,name7,reg7,name5,reg5,name1,reg1,mainland,offshore,km2
Mizoram,MZ,Mizoram,MZ,Mizoram,MZ,Mizoram,MZ,Mizoram,MZ,Mizoram,MZ,North-Eastern Region,NORTHEAST,North-Eastern Region,NORTHEAST,India,IND,TRUE,FALSE,"21,155"
Nagaland,NL,Nagaland,NL,Nagaland,NL,Nagaland,NL,Nagaland,NL,Nagaland,NL,North-Eastern Region,NORTHEAST,North-Eastern Region,NORTHEAST,India,IND,TRUE,FALSE,"16,631"
Delhi,DL,Delhi,DL,Delhi,DL,Delhi,DL,Delhi,DL,Delhi,DL,Northern Region,NORTH,Northern Region,NORTH,India,IND,TRUE,FALSE,"1,508"
Punjab,PB,Punjab,PB,Punjab,PB,Punjab,PB,Punjab,PB,Punjab and Chandigarh,PBH,Northern Region,NORTH,Northern Region,NORTH,India,IND,TRUE,FALSE,"50,484"
Rajasthan,RJ,Rajasthan,RJ,Rajasthan,RJ,Rajasthan,RJ,Rajasthan,RJ,Rajasthan,RJ,Northern Region,NORTH,Northern Region,NORTH,India,IND,TRUE,FALSE,"343,102"
Sikkim,SK,Sikkim,SK,Sikkim,SK,Sikkim,SK,Sikkim,SK,Sikkim,SK,Eastern Region,EAST,Eastern Region,EAST,India,IND,TRUE,FALSE,"7,142"
Tamil Nadu,TN,Tamil Nadu,TN,Tamil Nadu,TN,Tamil Nadu,TN,Tamil Nadu and part of Puducherry,TNY,Tamil Nadu and part of Puducherry,TNY,Southern Region,SOUTH,Southern Region,SOUTH,India,IND,TRUE,FALSE,"130,396"
Telangana,TG,Telangana,TG,Telangana,TG,Telangana,TG,Telangana,TG,Telangana,TG,Southern Region,SOUTH,Southern Region,SOUTH,India,IND,TRUE,FALSE,"112,262"
Tripura,TR,Tripura,TR,Tripura,TR,Tripura,TR,Tripura,TR,Tripura,TR,North-Eastern Region,NORTHEAST,North-Eastern Region,NORTHEAST,India,IND,TRUE,FALSE,"10,468"
Uttar Pradesh,UP,Uttar Pradesh,UP,Uttar Pradesh,UP,Uttar Pradesh,UP,Uttar Pradesh,UP,Uttar Pradesh,UP,Northern Region,NORTH,Northern Region,NORTH,India,IND,TRUE,FALSE,"241,206"
Uttarakhand,UT,Uttarakhand,UT,Uttarakhand,UT,Uttarakhand,UT,Uttarakhand,UT,Uttarakhand,UT,Northern Region,NORTH,Northern Region,NORTH,India,IND,TRUE,FALSE,"53,755"
West Bengal,WB,West Bengal,WB,West Bengal,WB,West Bengal,WB,West Bengal,WB,West Bengal,WB,Eastern Region,EAST,Eastern Region,EAST,India,IND,TRUE,FALSE,"85,433"
Odisha,OR,Odisha,OR,Odisha,OR,Odisha,OR,Odisha,OR,Odisha,OR,Eastern Region,EAST,Eastern Region,EAST,India,IND,TRUE,FALSE,"156,307"
Andhra Pradesh,AP,Andhra Pradesh,AP,Andhra Pradesh,AP,Andhra Pradesh,AP,Andhra Pradesh and part of Puducherry,APY,Andhra Pradesh and part of Puducherry,APY,Southern Region,SOUTH,Southern Region,SOUTH,India,IND,TRUE,FALSE,"163,517"
Daman,DM,Daman,DM,Daman and Diu,DD,"Daman, Diu, Dadara, and Nagar",DR,"Gujarat, Daman, and Diu",GJD,"Gujarat, Daman, Diu, Dadara, and Nagar",GJN,Western Region,WEST,Western Region,WEST,India,IND,TRUE,FALSE,74
Diu,DU,Diu,DU,Daman and Diu,DD,"Daman, Diu, Dadara, and Nagar",DR,"Gujarat, Daman, and Diu",GJD,"Gujarat, Daman, Diu, Dadara, and Nagar",GJN,Western Region,WEST,Western Region,WEST,India,IND,TRUE,FALSE,33
Puducherry 0,PY.0,Puducherry,PY,Puducherry,PY,Puducherry,PY,Tamil Nadu and part of Puducherry,TNY,Tamil Nadu and part of Puducherry,TNY,Southern Region,SOUTH,Southern Region,SOUTH,India,IND,TRUE,FALSE,159
Puducherry 1,PY.1,Puducherry,PY,Puducherry,PY,Puducherry,PY,Tamil Nadu and part of Puducherry,TNY,Tamil Nadu and part of Puducherry,TNY,Southern Region,SOUTH,Southern Region,SOUTH,India,IND,TRUE,FALSE,152
Puducherry 2,PY.2,Puducherry,PY,Puducherry,PY,Puducherry,PY,Tamil Nadu and part of Puducherry,TNY,Tamil Nadu and part of Puducherry,TNY,Southern Region,SOUTH,Southern Region,SOUTH,India,IND,TRUE,FALSE,45
Puducherry 3,PY.3,Puducherry,PY,Puducherry,PY,Puducherry,PY,Tamil Nadu and part of Puducherry,TNY,Tamil Nadu and part of Puducherry,TNY,Southern Region,SOUTH,Southern Region,SOUTH,India,IND,TRUE,FALSE,40
Puducherry 4,PY.4,Puducherry,PY,Puducherry,PY,Puducherry,PY,Andhra Pradesh and part of Puducherry,APY,Andhra Pradesh and part of Puducherry,APY,Southern Region,SOUTH,Southern Region,SOUTH,India,IND,TRUE,FALSE,33
Puducherry 5,PY.5,Puducherry,PY,Puducherry,PY,Puducherry,PY,Tamil Nadu and part of Puducherry,TNY,Tamil Nadu and part of Puducherry,TNY,Southern Region,SOUTH,Southern Region,SOUTH,India,IND,TRUE,FALSE,18
Puducherry 6,PY.6,Puducherry,PY,Puducherry,PY,Puducherry,PY,Tamil Nadu and part of Puducherry,TNY,Tamil Nadu and part of Puducherry,TNY,Southern Region,SOUTH,Southern Region,SOUTH,India,IND,TRUE,FALSE,11
Puducherry 7,PY.7,Puducherry,PY,Puducherry,PY,Puducherry,PY,Kerala and part of Puducherry,KLY,Kerala and part of Puducherry,KLY,Southern Region,SOUTH,Southern Region,SOUTH,India,IND,TRUE,FALSE,3
Puducherry 8,PY.8,Puducherry,PY,Puducherry,PY,Puducherry,PY,Tamil Nadu and part of Puducherry,TNY,Tamil Nadu and part of Puducherry,TNY,Southern Region,SOUTH,Southern Region,SOUTH,India,IND,TRUE,FALSE,5
Puducherry 9,PY.9,Puducherry,PY,Puducherry,PY,Puducherry,PY,Tamil Nadu and part of Puducherry,TNY,Tamil Nadu and part of Puducherry,TNY,Southern Region,SOUTH,Southern Region,SOUTH,India,IND,TRUE,FALSE,4
Andaman and Nicobar,AN,Andaman and Nicobar,AN,Andaman and Nicobar,AN,Andaman and Nicobar,AN,Andaman and Nicobar,AN,Andaman and Nicobar,AN,Andaman and Nicobar,AN,Eastern Region,EAST,India,IND,FALSE,TRUE,"7,378"
Andhra Pradesh,AP,Andhra Pradesh,AP,Andhra Pradesh,AP,Andhra Pradesh,AP,Andhra Pradesh and part of Puducherry,APY,Andhra Pradesh and part of Puducherry,APY,Southern Region,SOUTH,Southern Region,SOUTH,India,IND,TRUE,TRUE,"163,517"
Daman,DM,Daman,DM,Daman and Diu,DD,Daman and Diu,DR,"Gujarat, Daman, and Diu",GJD,"Gujarat, Daman, Diu, Dadara, and Nagar",GJN,Western Region,WEST,Western Region,WEST,India,IND,TRUE,TRUE,74
Diu,DU,Diu,DU,Daman and Diu,DD,Daman and Diu,DR,"Gujarat, Daman, and Diu",GJD,"Gujarat, Daman, Diu, Dadara, and Nagar",GJN,Western Region,WEST,Western Region,WEST,India,IND,TRUE,TRUE,33
"Daman, Diu, Dadara, and Nagar",DR,"Daman, Diu, Dadara, and Nagar",DR,"Daman, Diu, Dadara, and Nagar",DR,"Daman, Diu, Dadara, and Nagar",DR,"Daman, Diu, Dadara, and Nagar",DR,"Daman, Diu, Dadara, and Nagar",DR,"Daman, Diu, Dadara, and Nagar",DR,Western Region,WEST,India,IND,TRUE,TRUE,605
Goa,GA,Goa,GA,Goa,GA,Goa,GA,Goa,GA,Goa,GA,Western Region,WEST,Western Region,WEST,India,IND,TRUE,TRUE,"3,646"
Gujarat,GJ,Gujarat,GJ,Gujarat,GJ,Gujarat,GJ,"Gujarat, Daman, and Diu",GJD,"Gujarat, Daman, Diu, Dadara, and Nagar",GJN,Western Region,WEST,Western Region,WEST,India,IND,TRUE,TRUE,"186,217"
Karnataka,KA,Karnataka,KA,Karnataka,KA,Karnataka,KA,Karnataka,KA,Karnataka,KA,Southern Region,SOUTH,Southern Region,SOUTH,India,IND,TRUE,TRUE,"192,431"
